Esquema,mAh final,mAh/min,1 min,2 min,3 min,4 min,5 min,6 min,7 min,8 min,9 min,10 min
Sin cifrado,11.772,1.177,1.178,2.349,3.498,4.669,5.845,7.028,8.216,9.417,10.595,11.772
TLS,12.071,1.207,1.215,2.418,3.623,4.826,6.03,7.239,8.443,9.659,10.866,12.071
AES+ECC,11.985,1.199,1.2,2.386,3.587,4.781,5.98,7.183,8.384,9.592,10.788,11.985
