Esquema,Media (mA),Mediana (mA),Moda (mA),Desv. Est.,Mínimo (mA),Máximo (mA),Min. estable (mA),P25 (mA),P75 (mA)
Sin cifrado,70.633,65.2,65.1,19.448,45.7,209.7,48.8,64.9,65.5
TLS,72.429,66.9,66.6,19.865,27.7,219.0,49.0,66.6,67.1
AES+ECC,71.911,66.6,66.6,19.537,27.9,220.2,48.6,66.2,66.9
