Fecha,Hora,ID,temperatura,humedad
2025-08-16,13:20:01.169,1,22.0,72.0
2025-08-16,13:22:01.174,2,22.3,72.0
2025-08-16,13:24:01.182,3,22.1,72.0
2025-08-16,13:26:01.185,4,22.0,72.0
2025-08-16,13:28:01.191,5,21.8,74.0
2025-08-16,13:30:01.197,6,21.6,75.0
2025-08-16,13:32:01.206,7,21.5,77.0
2025-08-16,13:34:01.211,8,21.5,77.0
2025-08-16,13:36:01.214,9,21.5,78.0
2025-08-16,13:38:01.220,10,21.4,78.0
2025-08-16,13:40:01.225,11,21.3,78.0
2025-08-16,13:42:01.234,12,21.4,78.0
2025-08-16,13:44:01.237,13,21.4,78.0
2025-08-16,13:46:01.246,14,21.4,78.0
2025-08-16,13:48:01.251,15,21.4,78.0
2025-08-16,13:50:01.254,16,21.3,79.0
2025-08-16,13:52:01.259,17,21.3,79.0
2025-08-16,13:54:01.266,18,21.3,79.0
2025-08-16,13:56:01.271,19,21.2,79.0
2025-08-16,13:58:01.278,20,21.2,79.0
2025-08-16,14:00:01.285,21,21.2,79.0
2025-08-16,14:02:01.290,22,21.2,78.0
2025-08-16,14:04:01.295,23,21.1,78.0
2025-08-16,14:06:01.299,24,21.2,78.0
2025-08-16,14:08:01.304,25,21.1,78.0
2025-08-16,14:10:01.313,26,21.1,78.0
2025-08-16,14:12:01.319,27,21.1,78.0
2025-08-16,14:14:01.321,28,21.1,78.0
2025-08-16,14:16:01.327,29,21.1,78.0
2025-08-16,14:18:01.333,30,21.1,78.0
2025-08-16,14:20:01.341,31,21.1,79.0
2025-08-16,14:22:01.346,32,21.1,79.0
2025-08-16,14:24:01.350,33,21.1,79.0
2025-08-16,14:26:01.356,34,21.1,79.0
2025-08-16,14:28:01.364,35,21.1,79.0
2025-08-16,14:30:01.367,36,21.1,79.0
2025-08-16,14:32:01.374,37,21.0,79.0
2025-08-16,14:34:01.378,38,21.2,80.0
2025-08-16,14:36:01.384,39,21.3,79.0
2025-08-16,14:38:01.389,40,21.2,78.0
2025-08-16,14:40:01.395,41,21.2,78.0
2025-08-16,14:42:01.401,42,21.2,79.0
2025-08-16,14:44:01.406,43,21.2,79.0
2025-08-16,14:46:01.413,44,21.2,78.0
