ID,latencia
1,237.0
2,352.0
3,156.0
4,275.0
5,283.0
6,191.0
7,301.0
8,313.0
9,227.0
10,340.0
11,352.0
12,152.0
13,166.0
14,176.0
15,288.0
16,302.0
17,214.0
18,324.0
19,337.0
20,140.0
21,148.0
22,163.0
23,276.0
24,291.0
25,199.0
26,309.0
27,320.0
28,334.0
29,143.0
30,356.0
31,264.0
32,274.0
33,184.0
34,300.0
35,307.0
36,320.0
37,332.0
38,139.0
39,250.0
40,265.0
41,171.0
42,286.0
43,296.0
44,306.0
45,318.0
46,331.0
47,239.0
48,251.0
49,157.0
50,271.0
51,285.0
52,299.0
53,302.0
54,316.0
55,224.0
56,235.0
57,247.0
58,157.0
59,166.0
60,281.0
61,290.0
62,305.0
63,314.0
64,323.0
65,131.0
66,239.0
67,259.0
68,267.0
69,278.0
70,288.0
71,199.0
72,209.0
73,324.0
74,232.0
75,247.0
76,255.0
77,266.0
78,280.0
79,185.0
80,297.0
81,308.0
82,220.0
83,237.0
84,244.0
85,149.0
86,160.0
87,275.0
88,280.0
89,197.0
90,308.0
91,218.0
92,227.0
93,136.0
94,147.0
95,361.0
96,273.0
97,283.0
98,194.0
99,204.0
100,215.0
101,225.0
102,241.0
103,144.0
104,160.0
105,271.0
106,178.0
107,295.0
108,303.0
109,313.0
110,326.0
111,337.0
112,137.0
113,254.0
114,269.0
115,280.0
116,290.0
117,197.0
118,209.0
119,223.0
120,230.0
121,142.0
122,151.0
123,162.0
124,177.0
125,288.0
126,300.0
127,310.0
128,321.0
129,233.0
130,244.0
131,253.0
132,163.0
133,276.0
134,288.0
135,299.0
136,314.0
137,319.0
138,332.0
139,257.0
140,145.0
141,158.0
142,275.0
143,181.0
144,193.0
145,204.0
146,216.0
147,226.0
148,241.0
149,146.0
150,158.0
151,272.0
152,283.0
153,293.0
154,307.0
155,314.0
156,328.0
157,236.0
158,254.0
159,256.0
160,269.0
161,176.0
162,189.0
163,202.0
164,313.0
165,221.0
166,232.0
167,244.0
168,254.0
169,269.0
170,177.0
171,206.0
172,208.0
173,313.0
174,319.0
175,232.0
176,243.0
177,153.0
178,267.0
179,279.0
180,290.0
181,196.0
182,209.0
183,220.0
184,228.0
185,242.0
186,249.0
187,160.0
188,171.0
189,184.0
190,191.0
191,307.0
192,220.0
193,328.0
194,239.0
195,147.0
196,262.0
197,173.0
198,181.0
199,194.0
200,308.0
201,314.0
202,226.0
203,238.0
204,250.0
205,259.0
206,270.0
207,180.0
208,193.0
209,203.0
210,317.0
211,225.0
212,233.0
213,148.0
214,255.0
215,166.0
216,178.0
217,190.0
218,197.0
219,210.0
220,326.0
221,234.0
222,244.0
223,151.0
224,163.0
225,175.0
226,389.0
227,297.0
228,210.0
229,220.0
230,332.0
231,344.0
232,252.0
233,152.0
234,274.0
235,184.0
236,295.0
237,310.0
238,215.0
239,229.0
240,239.0
241,148.0
242,159.0
243,275.0
244,284.0
245,193.0
246,411.0
247,214.0
248,223.0
249,234.0
250,351.0
251,363.0
252,371.0
253,381.0
254,393.0
255,203.0
256,315.0
257,323.0
258,336.0
259,348.0
260,357.0
261,265.0
262,278.0
263,290.0
264,304.0
265,312.0
266,222.0
267,233.0
268,241.0
269,253.0
270,264.0
271,276.0
272,289.0
273,296.0
274,311.0
275,224.0
276,231.0
277,342.0
278,355.0
279,163.0
280,277.0
281,286.0
282,195.0
283,311.0
284,320.0
285,433.0
286,239.0
287,252.0
288,157.0
289,169.0
290,285.0
291,192.0
292,204.0
293,215.0
294,226.0
295,238.0
296,145.0
297,158.0
298,169.0
299,179.0
300,189.0
