Fecha,Hora,ID,temperatura,humedad
2025-08-16,13:20:01.406,1,22.0,72.0
2025-08-16,13:22:01.526,2,22.3,72.0
2025-08-16,13:24:01.338,3,22.1,72.0
2025-08-16,13:26:01.460,4,22.0,72.0
2025-08-16,13:28:01.474,5,21.8,74.0
2025-08-16,13:30:01.388,6,21.6,75.0
2025-08-16,13:32:01.507,7,21.5,77.0
2025-08-16,13:34:01.524,8,21.5,77.0
2025-08-16,13:36:01.441,9,21.5,78.0
2025-08-16,13:38:01.560,10,21.4,78.0
2025-08-16,13:40:01.577,11,21.3,78.0
2025-08-16,13:42:01.386,12,21.4,78.0
2025-08-16,13:44:01.403,13,21.4,78.0
2025-08-16,13:46:01.422,14,21.4,78.0
2025-08-16,13:48:01.539,15,21.4,78.0
2025-08-16,13:50:01.556,16,21.3,79.0
2025-08-16,13:52:01.473,17,21.3,79.0
2025-08-16,13:54:01.590,18,21.3,79.0
2025-08-16,13:56:01.608,19,21.2,79.0
2025-08-16,13:58:01.418,20,21.2,79.0
2025-08-16,14:00:01.433,21,21.2,79.0
2025-08-16,14:02:01.453,22,21.2,78.0
2025-08-16,14:04:01.571,23,21.1,78.0
2025-08-16,14:06:01.590,24,21.2,78.0
2025-08-16,14:08:01.503,25,21.1,78.0
2025-08-16,14:10:01.622,26,21.1,78.0
2025-08-16,14:12:01.639,27,21.1,78.0
2025-08-16,14:14:01.655,28,21.1,78.0
2025-08-16,14:16:01.470,29,21.1,78.0
2025-08-16,14:18:01.689,30,21.1,78.0
2025-08-16,14:20:01.605,31,21.1,79.0
2025-08-16,14:22:01.620,32,21.1,79.0
2025-08-16,14:24:01.534,33,21.1,79.0
2025-08-16,14:26:01.656,34,21.1,79.0
2025-08-16,14:28:01.671,35,21.1,79.0
2025-08-16,14:30:01.687,36,21.1,79.0
2025-08-16,14:32:01.706,37,21.0,79.0
2025-08-16,14:34:01.517,38,21.2,80.0
2025-08-16,14:36:01.634,39,21.3,79.0
2025-08-16,14:38:01.654,40,21.2,78.0
2025-08-16,14:40:01.566,41,21.2,78.0
2025-08-16,14:42:01.687,42,21.2,79.0
2025-08-16,14:44:01.702,43,21.2,79.0
2025-08-16,14:46:01.719,44,21.2,78.0
2025-08-16,14:48:01.736,45,21.2,78.0
2025-08-16,14:50:01.754,46,21.2,79.0
2025-08-16,14:52:01.669,47,21.2,79.0
2025-08-16,14:54:01.688,48,21.2,78.0
2025-08-16,14:56:01.597,49,21.2,78.0
2025-08-16,14:58:01.717,50,21.2,78.0
2025-08-16,15:00:01.736,51,21.2,78.0
2025-08-16,15:02:01.756,52,21.2,78.0
2025-08-16,15:04:01.767,53,21.2,78.0
2025-08-16,15:06:01.787,54,21.3,79.0
2025-08-16,15:08:01.699,55,21.3,78.0
2025-08-16,15:10:01.717,56,21.3,77.0
2025-08-16,15:12:01.732,57,21.2,76.0
2025-08-16,15:14:01.648,58,21.2,76.0
2025-08-16,15:16:01.663,59,21.2,76.0
2025-08-16,15:18:01.783,60,21.2,77.0
2025-08-16,15:20:01.800,61,21.2,77.0
2025-08-16,15:22:01.818,62,21.2,77.0
2025-08-16,15:24:01.833,63,21.3,78.0
2025-08-16,15:26:01.850,64,21.3,78.0
2025-08-16,15:28:01.662,65,21.3,78.0
2025-08-16,15:30:01.775,66,21.3,79.0
2025-08-16,15:32:01.801,67,21.3,79.0
2025-08-16,15:34:01.817,68,21.3,79.0
