ID,latencia
1,140.0
2,251.0
3,261.0
4,275.0
5,183.0
6,297.0
7,208.0
8,216.0
9,228.0
10,240.0
11,250.0
12,259.0
13,269.0
14,285.0
15,294.0
16,308.0
17,213.0
18,226.0
19,236.0
20,143.0
21,157.0
22,167.0
23,178.0
24,190.0
25,303.0
26,316.0
27,323.0
28,235.0
29,248.0
30,256.0
31,267.0
32,282.0
33,290.0
34,305.0
35,310.0
36,222.0
37,230.0
38,244.0
39,151.0
40,163.0
41,174.0
42,186.0
43,202.0
44,317.0
45,322.0
46,130.0
47,243.0
48,252.0
49,264.0
50,272.0
51,287.0
52,297.0
53,204.0
54,215.0
55,228.0
56,137.0
57,147.0
58,162.0
59,170.0
60,180.0
61,194.0
62,203.0
63,212.0
64,226.0
65,237.0
66,246.0
67,256.0
68,272.0
69,177.0
70,191.0
71,201.0
72,212.0
73,220.0
74,132.0
75,141.0
76,151.0
77,270.0
78,276.0
79,288.0
80,201.0
81,208.0
82,225.0
83,230.0
84,242.0
85,151.0
86,163.0
87,174.0
88,186.0
89,198.0
90,207.0
91,218.0
92,228.0
93,245.0
94,252.0
95,262.0
96,274.0
97,286.0
98,296.0
99,306.0
100,320.0
101,228.0
102,241.0
103,245.0
104,261.0
105,272.0
106,282.0
107,292.0
108,308.0
109,212.0
110,225.0
111,235.0
112,247.0
113,259.0
114,269.0
115,284.0
116,292.0
117,200.0
118,211.0
119,222.0
120,232.0
121,246.0
122,255.0
123,267.0
124,271.0
125,189.0
126,201.0
127,315.0
128,321.0
129,133.0
130,134.0
131,153.0
132,162.0
133,275.0
134,288.0
135,299.0
136,310.0
137,320.0
138,127.0
139,138.0
140,149.0
141,159.0
142,171.0
143,183.0
144,296.0
145,205.0
146,316.0
147,330.0
148,136.0
149,248.0
150,262.0
151,168.0
152,178.0
153,292.0
154,200.0
155,316.0
156,223.0
157,236.0
158,247.0
159,152.0
160,168.0
161,178.0
162,292.0
163,305.0
164,312.0
165,221.0
166,132.0
167,246.0
168,254.0
169,163.0
170,177.0
171,288.0
172,303.0
173,208.0
174,220.0
175,230.0
176,140.0
177,150.0
178,161.0
179,275.0
180,184.0
181,195.0
182,310.0
183,320.0
184,230.0
185,138.0
186,249.0
187,264.0
188,272.0
189,182.0
190,293.0
191,306.0
192,213.0
193,228.0
194,238.0
195,354.0
196,155.0
197,273.0
198,179.0
199,193.0
200,204.0
201,213.0
202,225.0
203,338.0
204,145.0
205,152.0
206,268.0
207,280.0
208,294.0
209,301.0
210,317.0
211,324.0
212,134.0
213,246.0
214,153.0
215,166.0
216,174.0
217,186.0
218,200.0
219,207.0
220,217.0
221,234.0
222,142.0
223,151.0
224,163.0
225,173.0
226,189.0
227,295.0
228,307.0
229,321.0
230,229.0
231,238.0
232,251.0
233,264.0
234,275.0
235,285.0
236,297.0
237,202.0
238,320.0
239,330.0
240,240.0
241,251.0
242,260.0
243,271.0
244,280.0
245,292.0
246,205.0
247,212.0
248,325.0
249,138.0
250,143.0
251,259.0
252,268.0
253,279.0
254,188.0
255,197.0
256,310.0
257,323.0
258,132.0
259,140.0
260,153.0
261,266.0
262,176.0
263,186.0
264,300.0
265,312.0
266,323.0
267,128.0
268,139.0
269,151.0
270,267.0
271,274.0
272,286.0
273,299.0
274,310.0
275,322.0
276,332.0
277,137.0
278,147.0
279,160.0
280,277.0
281,283.0
282,294.0
283,308.0
284,318.0
285,329.0
286,133.0
287,144.0
288,154.0
289,167.0
290,180.0
291,293.0
292,305.0
293,318.0
294,329.0
295,132.0
296,250.0
297,259.0
298,269.0
299,177.0
300,191.0
