ID,latencia
1,163.0
2,277.0
3,290.0
4,298.0
5,312.0
6,323.0
7,235.0
8,141.0
9,153.0
10,267.0
11,278.0
12,286.0
13,297.0
14,309.0
15,217.0
16,228.0
17,239.0
18,149.0
19,265.0
20,273.0
21,284.0
22,298.0
23,204.0
24,320.0
25,328.0
26,135.0
27,146.0
28,159.0
29,168.0
30,182.0
31,191.0
32,306.0
33,315.0
34,327.0
35,135.0
36,246.0
37,259.0
38,270.0
39,176.0
40,294.0
41,302.0
42,313.0
43,119.0
44,233.0
45,245.0
46,255.0
47,164.0
48,277.0
49,292.0
50,402.0
51,211.0
52,219.0
53,232.0
54,242.0
55,151.0
56,263.0
57,276.0
58,184.0
59,196.0
60,209.0
61,217.0
62,229.0
63,140.0
64,251.0
65,262.0
66,275.0
67,286.0
68,192.0
69,206.0
70,217.0
71,226.0
72,136.0
73,147.0
74,151.0
75,171.0
76,282.0
77,292.0
78,304.0
79,216.0
80,326.0
81,135.0
82,144.0
83,156.0
84,270.0
85,279.0
86,293.0
87,201.0
88,312.0
89,325.0
90,132.0
91,142.0
92,155.0
93,267.0
94,280.0
95,291.0
96,300.0
97,310.0
98,222.0
99,232.0
100,244.0
101,154.0
102,163.0
103,277.0
104,288.0
105,115.0
106,311.0
107,322.0
108,231.0
109,138.0
110,148.0
111,159.0
112,477.0
113,305.0
114,305.0
115,306.0
116,216.0
117,226.0
118,238.0
119,147.0
120,159.0
121,168.0
122,284.0
123,295.0
124,205.0
125,319.0
126,329.0
127,237.0
128,247.0
129,257.0
130,166.0
131,178.0
132,291.0
133,201.0
134,211.0
135,224.0
136,234.0
137,244.0
138,154.0
139,268.0
140,278.0
141,289.0
142,200.0
143,210.0
144,223.0
145,336.0
146,142.0
147,154.0
148,162.0
149,174.0
150,185.0
151,198.0
152,207.0
153,320.0
154,334.0
155,138.0
156,253.0
157,265.0
158,277.0
159,285.0
160,295.0
161,209.0
162,217.0
163,228.0
164,135.0
165,147.0
166,161.0
167,169.0
168,182.0
169,193.0
170,206.0
171,216.0
172,225.0
173,237.0
174,147.0
175,157.0
176,167.0
177,178.0
178,191.0
179,200.0
180,212.0
181,224.0
182,234.0
183,246.0
184,257.0
185,269.0
186,279.0
187,294.0
188,303.0
189,117.0
190,222.0
191,235.0
192,244.0
193,255.0
194,267.0
195,277.0
196,287.0
197,300.0
198,311.0
199,219.0
200,233.0
201,244.0
202,256.0
203,267.0
204,175.0
205,186.0
206,297.0
207,309.0
208,320.0
209,330.0
210,137.0
211,148.0
212,261.0
213,275.0
214,182.0
215,192.0
216,203.0
217,214.0
218,226.0
219,237.0
220,248.0
221,262.0
222,167.0
223,281.0
224,295.0
225,304.0
226,317.0
227,329.0
228,235.0
229,247.0
230,260.0
231,270.0
232,278.0
233,188.0
234,198.0
235,210.0
236,222.0
237,232.0
238,244.0
239,151.0
240,162.0
241,277.0
242,288.0
243,299.0
244,209.0
245,220.0
246,231.0
247,244.0
248,255.0
249,265.0
250,277.0
251,287.0
252,298.0
253,309.0
254,320.0
255,228.0
256,238.0
257,146.0
258,157.0
259,168.0
260,180.0
261,190.0
262,307.0
263,335.0
264,332.0
265,241.0
266,249.0
267,261.0
268,166.0
269,179.0
270,293.0
271,200.0
272,212.0
273,225.0
274,235.0
275,245.0
276,156.0
277,164.0
278,280.0
279,187.0
280,201.0
281,315.0
282,326.0
283,131.0
284,140.0
285,255.0
286,161.0
287,278.0
288,291.0
289,197.0
290,207.0
291,218.0
292,130.0
293,140.0
294,461.0
295,264.0
296,275.0
297,286.0
298,299.0
299,309.0
300,320.0
