Fecha,Hora,ID,temperatura,humedad
2025-08-04,23:40:13.134,1,22.3,85.0
2025-08-04,23:42:13.253,2,22.3,85.0
2025-08-04,23:44:13.271,3,22.1,85.0
2025-08-04,23:46:13.285,4,22.2,86.0
2025-08-04,23:48:13.304,5,22.2,86.0
2025-08-04,23:50:13.320,6,23.9,95.0
2025-08-04,23:52:13.237,7,23.1,81.0
2025-08-04,23:54:13.149,8,22.4,84.0
2025-08-04,23:56:13.166,9,22.1,85.0
2025-08-04,23:58:13.285,10,22.0,86.0
2025-08-05,00:00:13.301,11,22.0,86.0
2025-08-05,00:02:13.315,12,21.9,85.0
2025-08-05,00:04:13.331,13,21.9,85.0
2025-08-05,00:06:13.348,14,21.9,85.0
2025-08-05,00:08:13.262,15,21.9,85.0
2025-08-05,00:10:13.278,16,21.9,85.0
2025-08-05,00:12:13.294,17,21.9,86.0
2025-08-05,00:14:13.210,18,21.8,85.0
2025-08-05,00:16:13.331,19,21.8,86.0
2025-08-05,00:18:13.344,20,21.8,85.0
2025-08-05,00:20:13.361,21,21.7,85.0
2025-08-05,00:22:13.380,22,21.8,85.0
2025-08-05,00:24:13.291,23,21.7,85.0
2025-08-05,00:26:13.412,24,21.7,85.0
2025-08-05,00:28:13.426,25,21.7,85.0
2025-08-05,00:30:13.238,26,21.7,85.0
2025-08-05,00:32:13.254,27,21.8,85.0
2025-08-05,00:34:13.273,28,21.6,85.0
2025-08-05,00:36:13.287,29,21.6,85.0
2025-08-05,00:38:13.306,30,21.6,86.0
2025-08-05,00:40:13.321,31,21.6,85.0
2025-08-05,00:42:13.441,32,21.6,85.0
2025-08-05,00:44:13.455,33,21.6,85.0
2025-08-05,00:46:13.472,34,21.6,85.0
2025-08-05,00:48:13.286,35,21.6,85.0
2025-08-05,00:50:13.402,36,21.6,85.0
2025-08-05,00:52:13.421,37,21.5,85.0
2025-08-05,00:54:13.437,38,21.6,85.0
2025-08-05,00:56:13.349,39,21.6,85.0
2025-08-05,00:58:13.471,40,21.6,85.0
2025-08-05,01:00:13.485,41,21.6,85.0
2025-08-05,01:02:13.501,42,21.6,85.0
2025-08-05,01:04:13.313,43,21.6,85.0
2025-08-05,01:06:13.432,44,21.6,85.0
2025-08-05,01:08:13.450,45,21.6,85.0
2025-08-05,01:10:13.464,46,21.6,85.0
2025-08-05,01:12:13.379,47,21.5,85.0
2025-08-05,01:14:13.498,48,21.5,85.0
2025-08-05,01:16:13.517,49,21.6,85.0
2025-08-05,01:18:13.633,50,21.5,85.0
2025-08-05,01:20:13.447,51,21.4,85.0
2025-08-05,01:22:13.461,52,21.7,85.0
2025-08-05,01:24:13.478,53,21.6,85.0
2025-08-05,01:26:13.494,54,21.5,85.0
2025-08-05,01:28:13.408,55,21.6,85.0
2025-08-05,01:30:13.526,56,21.5,85.0
2025-08-05,01:32:13.544,57,21.6,85.0
2025-08-05,01:34:13.457,58,21.6,85.0
2025-08-05,01:36:13.475,59,21.5,85.0
2025-08-05,01:38:13.493,60,21.4,85.0
2025-08-05,01:40:13.506,61,21.4,85.0
2025-08-05,01:42:13.523,62,21.5,85.0
2025-08-05,01:44:13.440,63,21.5,85.0
2025-08-05,01:46:13.556,64,21.6,85.0
2025-08-05,01:48:13.573,65,21.5,85.0
2025-08-05,01:50:13.591,66,21.5,85.0
2025-08-05,01:52:13.608,67,21.5,85.0
2025-08-05,01:54:13.519,68,21.6,85.0
2025-08-05,01:56:13.538,69,21.6,85.0
2025-08-05,01:58:13.555,70,21.6,85.0
2025-08-05,02:00:13.568,71,21.5,85.0
2025-08-05,02:02:13.484,72,21.5,85.0
2025-08-05,02:04:13.500,73,21.5,85.0
2025-08-05,02:06:13.510,74,21.5,85.0
2025-08-05,02:08:13.535,75,21.5,85.0
2025-08-05,02:10:13.650,76,21.6,85.0
2025-08-05,02:12:13.667,77,21.6,85.0
2025-08-05,02:14:13.684,78,21.5,85.0
2025-08-05,02:16:13.601,79,21.5,85.0
2025-08-05,02:18:13.717,80,21.5,85.0
2025-08-05,02:20:13.530,81,21.5,85.0
2025-08-05,02:22:13.545,82,21.5,85.0
2025-08-05,02:24:13.561,83,21.5,85.0
2025-08-05,02:26:13.682,84,21.5,85.0
2025-08-05,02:28:13.696,85,21.5,85.0
2025-08-05,02:30:13.715,86,21.5,85.0
2025-08-05,02:32:13.629,87,21.5,85.0
2025-08-05,02:34:13.745,88,21.4,85.0
